Runde,Anzahl gesunder Personen,Anzahl infizierter Personen,Anzahl genesener Personen
354,45,7,9948
355,44,7,9949
356,43,7,9950
357,42,6,9952
358,42,6,9952
359,42,6,9952
360,42,6,9952
361,41,6,9953
362,39,8,9953
363,38,9,9953
364,38,9,9953
365,38,9,9953
366,37,9,9954
367,36,10,9954
368,35,10,9955
369,34,11,9955
370,33,11,9956
371,33,10,9957
372,33,9,9958
373,33,9,9958
374,31,11,9958
375,31,11,9958
376,31,10,9959
377,31,8,9961
378,30,8,9962
379,29,9,9962
380,29,9,9962
381,26,11,9963
382,26,10,9964
383,26,9,9965
384,25,9,9966
385,25,8,9967
386,25,8,9967
387,25,8,9967
388,25,8,9967
389,25,6,9969
390,25,6,9969
391,25,6,9969
392,25,6,9969
393,25,5,9970
394,25,4,9971
395,25,4,9971
396,25,1,9974
397,25,1,9974
398,24,2,9974
399,24,1,9975
400,24,1,9975
401,24,1,9975
402,23,2,9975
403,23,2,9975
404,23,2,9975
405,23,2,9975
406,23,2,9975
407,23,2,9975
408,23,2,9975
409,22,3,9975
410,21,4,9975
411,21,4,9975
412,21,4,9975
413,21,3,9976
414,21,3,9976
415,21,3,9976
416,21,3,9976
417,21,2,9977
418,20,3,9977
419,19,4,9977
420,19,4,9977
421,19,4,9977
422,19,4,9977
423,19,4,9977
424,19,3,9978
425,19,2,9979
426,19,2,9979
427,19,2,9979
428,19,2,9979
429,19,2,9979
430,19,2,9979
431,19,2,9979
432,19,2,9979
433,18,2,9980
434,18,1,9981
435,18,1,9981
436,17,2,9981
437,17,2,9981
438,17,2,9981
439,17,2,9981
440,17,2,9981
441,17,2,9981
442,17,2,9981
443,17,2,9981
444,17,2,9981
445,16,3,9981
446,16,3,9981
447,16,3,9981
448,16,2,9982
449,16,2,9982
450,16,2,9982
451,16,1,9983
452,15,2,9983
453,15,2,9983
454,15,2,9983
455,15,2,9983
456,15,2,9983
457,14,3,9983
458,14,3,9983
459,14,3,9983
460,14,2,9984
461,14,2,9984
462,14,2,9984
463,14,2,9984
464,14,2,9984
465,14,2,9984
466,14,2,9984
467,14,1,9985
468,14,1,9985
469,14,1,9985
470,14,1,9985
471,14,1,9985
472,13,1,9986
473,12,2,9986
474,12,2,9986
475,10,4,9986
476,10,4,9986
477,10,4,9986
478,10,4,9986
479,10,4,9986
480,10,4,9986
481,10,4,9986
482,10,4,9986
483,10,4,9986
484,10,4,9986
485,10,4,9986
486,10,4,9986
487,10,3,9987
488,10,2,9988
489,10,2,9988
490,10,0,9990
